evidence_id,provenance_distance,recipient_decision,transferred_object,primary_effect,interval_or_p,evidence_status,main_text_role,source_file
generic_ood_benchmark,multiple_programmes,numerical_OOD_prediction,generic_donor_prediction_feature,"0 of 40 real edges repaired the designated OOD task","eight targets; complete gate conjunction","claim-bearing null","necessity of routing and abstention","analysis/results/multi_target_ood_COMPLETE.json"
specgen_derivative_B,complete_system_holdout_within_programme,few_shot_numerical_prediction_and_ranking,composition_to_OER_relation_plus_five_anchors,"pooled relative RMSE gain 0.1634879; pooled Spearman gain 0.3472799; median borrowed Spearman 0.5931","candidate bootstrap RMSE 0.0924 to 0.2295; Spearman 0.2599 to 0.4261; zero-label Holm p=0.00798","post-primary controlled positive","central perturbation-series positive edge","analysis/results/specgen_composition_secondary_summary.json"
specgen_derivative_D,complete_system_holdout_within_programme,few_shot_numerical_prediction_and_ranking,homologous_metal_slot_composition_relation_plus_five_anchors,"pooled relative RMSE gain 0.2607349; pooled Spearman gain 0.4070955; median borrowed Spearman 0.7643","candidate bootstrap RMSE 0.1999 to 0.3171; Spearman 0.3517 to 0.4590; zero-label Holm p=0.00798","post-primary controlled positive","strongest controlled derivative-system edge","analysis/results/specgen_composition_secondary_summary.json"
specgen_derivative_A_C_boundary,complete_system_holdout_within_programme,prediction_versus_ranking_boundary,composition_to_OER_relation_plus_five_anchors,"A RMSE gain 0.0319 with interval crossing zero but rank gain 0.2824; C RMSE gain -0.1038","A RMSE -0.0176 to 0.0969; C RMSE -0.1722 to -0.0343","ranking-only plus harmful boundary","paired selectivity control beside B and D","analysis/results/specgen_composition_secondary_summary.json"
specgen_top20_temporal,subsequent_candidates_same_programme,OOD_candidate_screening,unchanged_composition_rank,"Spearman B 0.4752 C 0.5310 D 0.6160; A 0.3594","Holm p B 0.0350 C 0.0262 D 0.0101 A 0.0599","retrospective temporal corroboration","secondary support; selected-candidate caveat","analysis/results/specgen_top20_temporal_summary.json"
kit_adjacent_temperature,same_campaign,few_shot_numerical_prediction,state_conditioned_prediction,"relative RMSE gain 0.1502; augmented R2 0.811","95% CI 0.0861 to 0.2110; p=0.001","qualified local positive","short-provenance positive example","analysis/results/kit_temperature_summary.json"
calisol_anchored_delta,cross_article,few_shot_numerical_prediction,within_article_response_relation_plus_anchor,"relative macro-RMSE gain 0.069127 versus same-anchor absolute donor","article bootstrap 0.0088 to 0.1400; exact p=0.035156; 8 of 11 articles","post-outcome method-development positive","mechanism for crossing article-specific scale shifts","analysis/results/calisol_anchored_delta_summary.json"
solventseg_programme_balanced_fixed_25C,cross_database,OOD_candidate_screening,equal_programme_ordinal_score_from_three_separately_trained_conductivity_sources,"five-anchor source Spearman 0.9103 versus strongest of 13 recipient-only configurations 0.5366; Delta rho 0.3737; top-quartile precision 0.9325; normalized regret 0.00047","95% anchor-coverage interval for Delta rho 0.2126 to 0.5622; source-minus-per-draw recipient oracle 0.2999 [0.1834,0.5397]; zero-label Holm p=0.00070","post-outcome cross-database ranking positive","flagship ranking result with absolute-prediction abstention","analysis/results/bamboomixer_cross_database_interaction_summary.json"
finales_frozen_replication,cross_database,OOD_candidate_screening,unchanged_ordinal_score,"pairwise concordance advantage -0.088731; donor 0.693878 versus three-anchor baseline 0.782609; donor regret 0.563 versus 0.180","95% CI -0.293201 to 0.095926; permutation p=0.130935","frozen non-replication","programme-specific boundary immediately after SolventSeg","analysis/results/finales_rank_replication_complete.json"
caltech_estm_hard_ood,cross_database,OOD_candidate_screening,unchanged_ordinal_score,"hard-OOD AUC20 51 versus shuffled mean 11.59","four-test Holm-adjusted p=0.039604","retrospective corroboration","small supporting panel; no complementarity claim","analysis/results/caltech_static_ranking_empirical_null_summary.json"
