scope,seed,source_rows,prediction_mean,prediction_sd
all_source_salts,2026073001,10407,0.45585956357628593,0.5115043859276891
all_source_salts,2026073002,10407,0.455479744825722,0.5185701954039215
all_source_salts,2026073003,10407,0.4551000016661779,0.5188241176236511
state_only,2026073001,10407,0.4994083491961256,0.5090280336789155
state_only,2026073002,10407,0.5005340971857456,0.5065046299866793
state_only,2026073003,10407,0.49982027392234646,0.5091330107901767
chemistry_permuted,2026073001,10407,0.4810686858967362,0.5084197509370242
chemistry_permuted,2026073002,10407,0.4666752791577173,0.507123471780202
chemistry_permuted,2026073003,10407,0.4760808725653337,0.5093913522543607
without_LiPF6,2026073001,6128,0.4056800950025584,0.38763322108231996
without_LiPF6,2026073002,6128,0.4074919865014545,0.38529957199481196
without_LiPF6,2026073003,6128,0.4038284585376013,0.3892729848265145
LiPF6_only,2026073001,4260,0.41444132543707507,0.6956645357902719
LiPF6_only,2026073002,4260,0.4125650988820924,0.6957343698501802
LiPF6_only,2026073003,4260,0.4163751721111814,0.6931708594861267
LiBOB_wrong_salt_control,2026073001,3210,0.6796735158117532,0.5128275901807616
LiBOB_wrong_salt_control,2026073002,3210,0.6751672908067724,0.5115285561034016
LiBOB_wrong_salt_control,2026073003,3210,0.6796409915718271,0.5084292331966647
LiBF4_fluorinated_control,2026073001,1561,0.13263103292653916,0.4287844775683875
LiBF4_fluorinated_control,2026073002,1561,0.1376302249727714,0.42974072187365964
LiBF4_fluorinated_control,2026073003,1561,0.13506644739740462,0.4283452440163565
