scope,replicate,policy,unit,group_value_aggregation,auc20,hit_count20,total_top_units,recall20,first_hit,hit_positions
external_candidate,0,shuffled_neighbor_family_first_consensus,provenance_group,max,34,2,4,0.5,2,2;6
external_candidate,1,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,2,shuffled_neighbor_family_first_consensus,provenance_group,max,23,2,4,0.5,7,7;12
external_candidate,3,shuffled_neighbor_family_first_consensus,provenance_group,max,17,1,4,0.25,4,4
external_candidate,4,shuffled_neighbor_family_first_consensus,provenance_group,max,12,2,4,0.5,14,14;16
external_candidate,5,shuffled_neighbor_family_first_consensus,provenance_group,max,23,2,4,0.5,6,6;13
external_candidate,6,shuffled_neighbor_family_first_consensus,provenance_group,max,29,2,4,0.5,5,5;8
external_candidate,7,shuffled_neighbor_family_first_consensus,provenance_group,max,32,3,4,0.75,5,5;9;17
external_candidate,8,shuffled_neighbor_family_first_consensus,provenance_group,max,12,2,4,0.5,13,13;17
external_candidate,9,shuffled_neighbor_family_first_consensus,provenance_group,max,20,3,4,0.75,11,11;15;17
external_candidate,10,shuffled_neighbor_family_first_consensus,provenance_group,max,28,2,4,0.5,6,6;8
external_candidate,11,shuffled_neighbor_family_first_consensus,provenance_group,max,14,1,4,0.25,7,7
external_candidate,12,shuffled_neighbor_family_first_consensus,provenance_group,max,38,3,4,0.75,1,1;10;14
external_candidate,13,shuffled_neighbor_family_first_consensus,provenance_group,max,36,2,4,0.5,2,2;4
external_candidate,14,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,15,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,16,shuffled_neighbor_family_first_consensus,provenance_group,max,26,3,4,0.75,6,6;15;16
external_candidate,17,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,18,shuffled_neighbor_family_first_consensus,provenance_group,max,17,2,4,0.5,6,6;19
external_candidate,19,shuffled_neighbor_family_first_consensus,provenance_group,max,28,3,4,0.75,8,8;9;18
external_candidate,20,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,21,shuffled_neighbor_family_first_consensus,provenance_group,max,14,2,4,0.5,12,12;16
external_candidate,22,shuffled_neighbor_family_first_consensus,provenance_group,max,27,4,4,1.0,11,11;12;15;19
external_candidate,23,shuffled_neighbor_family_first_consensus,provenance_group,max,36,4,4,1.0,5,5;11;12;20
external_candidate,24,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,5,5;10
external_candidate,25,shuffled_neighbor_family_first_consensus,provenance_group,max,23,2,4,0.5,4,4;15
external_candidate,26,shuffled_neighbor_family_first_consensus,provenance_group,max,20,2,4,0.5,4,4;18
external_candidate,27,shuffled_neighbor_family_first_consensus,provenance_group,max,31,2,4,0.5,2,2;9
external_candidate,28,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,29,shuffled_neighbor_family_first_consensus,provenance_group,max,1,1,4,0.25,20,20
external_candidate,30,shuffled_neighbor_family_first_consensus,provenance_group,max,12,1,4,0.25,9,9
external_candidate,31,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,32,shuffled_neighbor_family_first_consensus,provenance_group,max,27,3,4,0.75,11,11;12;13
external_candidate,33,shuffled_neighbor_family_first_consensus,provenance_group,max,7,1,4,0.25,14,14
external_candidate,34,shuffled_neighbor_family_first_consensus,provenance_group,max,22,3,4,0.75,8,8;14;19
external_candidate,35,shuffled_neighbor_family_first_consensus,provenance_group,max,38,3,4,0.75,5,5;8;12
external_candidate,36,shuffled_neighbor_family_first_consensus,provenance_group,max,12,1,4,0.25,9,9
external_candidate,37,shuffled_neighbor_family_first_consensus,provenance_group,max,18,2,4,0.5,5,5;19
external_candidate,38,shuffled_neighbor_family_first_consensus,provenance_group,max,14,2,4,0.5,10,10;18
external_candidate,39,shuffled_neighbor_family_first_consensus,provenance_group,max,32,2,4,0.5,1,1;9
external_candidate,40,shuffled_neighbor_family_first_consensus,provenance_group,max,17,2,4,0.5,10,10;15
external_candidate,41,shuffled_neighbor_family_first_consensus,provenance_group,max,8,1,4,0.25,13,13
external_candidate,42,shuffled_neighbor_family_first_consensus,provenance_group,max,13,1,4,0.25,8,8
external_candidate,43,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,4,4;11
external_candidate,44,shuffled_neighbor_family_first_consensus,provenance_group,max,42,3,4,0.75,1,1;4;16
external_candidate,45,shuffled_neighbor_family_first_consensus,provenance_group,max,0,0,4,0.0,21,
external_candidate,46,shuffled_neighbor_family_first_consensus,provenance_group,max,20,3,4,0.75,7,7;17;19
external_candidate,47,shuffled_neighbor_family_first_consensus,provenance_group,max,27,2,4,0.5,2,2;13
external_candidate,48,shuffled_neighbor_family_first_consensus,provenance_group,max,18,1,4,0.25,3,3
external_candidate,49,shuffled_neighbor_family_first_consensus,provenance_group,max,20,2,4,0.5,10,10;12
external_candidate,50,shuffled_neighbor_family_first_consensus,provenance_group,max,24,2,4,0.5,7,7;11
external_candidate,51,shuffled_neighbor_family_first_consensus,provenance_group,max,14,2,4,0.5,13,13;15
external_candidate,52,shuffled_neighbor_family_first_consensus,provenance_group,max,11,3,4,0.75,13,13;19;20
external_candidate,53,shuffled_neighbor_family_first_consensus,provenance_group,max,17,2,4,0.5,7,7;18
