claim_id,metric,value,interval_low,interval_high,unit,artifact,json_path,interpretation
broad_scalar_screen,declared_edges,40,,,count,analysis/results/multi_target_ood_summary.json,real_edges,All declared donor-recipient edges
broad_scalar_screen,target_tasks,8,,,count,analysis/results/multi_target_ood_summary.json,targets,Eight recipient targets
broad_scalar_screen,complete_gate_passes,0,,,count,analysis/results/multi_target_ood_summary.json,programme_inference.programme_clusters_with_full_pass,No programme supplied a complete pass
broad_scalar_screen,programme_mean_OOD_gain,0.009247991733308742,-0.0035249839588146945,0.029191724478494926,fraction,analysis/results/multi_target_ood_summary.json,programme_inference.mean_primary_ood_gain,Interval includes zero
liasf6_external,source_rows,10407,,,measurements,analysis/results/bamboomixer_response_transfer_summary.json,source_rows,Conductivity-filtered source measurements
liasf6_external,source_salts,22,,,salts,analysis/results/bamboomixer_response_transfer_summary.json,source_salts,Distinct source salts
liasf6_external,target_rows,1660,,,measurements,analysis/results/bamboomixer_LiAsF6_only_summary.json,corrected_target_rows,LiAsF6-only semantic correction
liasf6_external,target_formulations,156,,,formulations,analysis/results/bamboomixer_LiAsF6_only_summary.json,corrected_target_formulations,LiAsF6-only semantic correction
liasf6_external,raw_R2,0.60708008274443,,,coefficient,analysis/results/bamboomixer_LiAsF6_only_summary.json,corrected_external_metrics.raw_r2,Qualified absolute prediction result
liasf6_external,Spearman_rho,0.8639511089469837,,,coefficient,analysis/results/bamboomixer_LiAsF6_only_summary.json,corrected_external_metrics.spearman,Qualified ranking component
liasf6_external,relative_log_RMSE_gain_vs_state_only,0.2740993466742442,0.21790512969868628,0.32922581386111144,fraction,analysis/results/bamboomixer_LiAsF6_only_summary.json,corrected_contrasts.state_only.relative_log_rmse_gain_mean,Positive absolute-prediction contrast
solventseg_rank,fixed_25C_Spearman,0.8938594306816067,,,coefficient,analysis/results/bamboomixer_cross_database_interaction_summary.json,solventseg.fixed_25_C.programme_balanced_rank_consensus.spearman,Zero-label full-recipient ranking
solventseg_rank,fixed_25C_top_quartile_precision,1.0,,,fraction,analysis/results/bamboomixer_cross_database_interaction_summary.json,solventseg.fixed_25_C.programme_balanced_rank_consensus.top_quartile_precision,9 of 9 top-quartile formulations
solventseg_rank,five_anchor_rank_consensus_Spearman,0.8853229607297355,,,coefficient,analysis/results/bamboomixer_cross_database_interaction_summary.json,solventseg.five_anchor_macro.programme_balanced_rank_consensus_frozen.spearman,Formal source ranking
solventseg_rank,five_anchor_target_Ridge_Spearman,0.16189172532352053,,,coefficient,analysis/results/bamboomixer_cross_database_interaction_summary.json,solventseg.five_anchor_macro.target_only_ridge.spearman,Prespecified formal target-only comparator
solventseg_rank,five_anchor_Spearman_gain,0.7234312354062149,0.3294467191396607,1.3490998653810644,coefficient,analysis/results/bamboomixer_cross_database_interaction_summary.json,solventseg.five_anchor_contrasts.programme_balanced_rank_consensus_frozen.spearman_gain_mean,Formal route-defining contrast
solventseg_rank,absolute_log_RMSE_gain_vs_state_only,-0.1800366403692153,-0.43965893835854153,0.2106397144669739,fraction,analysis/results/bamboomixer_cross_database_interaction_summary.json,solventseg.routing.prediction_gate.portfolio_vs_state_relative_log_rmse_gain,Negative mean and interval crossing zero prevent numerical route
solventseg_baseline_stress,recipient_models_tested,13,,,count,analysis/results/bamboomixer_recipient_baseline_stress_test_summary.json,five_anchor.recipient_macro,Separate baseline sensitivity
solventseg_baseline_stress,source_portfolio_Spearman,0.910299826143778,,,coefficient,analysis/results/bamboomixer_recipient_baseline_stress_test_summary.json,five_anchor.source_portfolio.spearman,Outcome-inspected sensitivity
solventseg_baseline_stress,strongest_recipient_Spearman,0.5366383640583346,,,coefficient,analysis/results/bamboomixer_recipient_baseline_stress_test_summary.json,five_anchor.recipient_macro.0.spearman,Strongest of 13 tested recipient configurations
finales_boundary,eligible_formulations,19,,,formulations,analysis/results/finales_rank_replication_summary.json,recipient_audit.primary.eligible_unique_formulations,Three anchors and sixteen evaluation formulations
finales_boundary,anchors,3,,,formulations,analysis/results/finales_rank_replication_summary.json,primary.anchors,Frozen first-three policy
finales_boundary,donor_concordance,0.6938775510204082,,,fraction,analysis/results/finales_rank_replication_summary.json,primary.donor_concordance,Source ordering
finales_boundary,strongest_recipient_concordance,0.782608695652174,,,fraction,analysis/results/finales_rank_replication_summary.json,primary.strongest_baseline_concordance,ExtraTrees comparator
finales_boundary,concordance_difference,-0.08873114463176579,-0.2932013494453841,0.095926068941845,fraction,analysis/results/finales_rank_replication_summary.json,primary.concordance_advantage,Interval crosses zero
finales_boundary,permutation_P,0.13093453273363317,,,probability,analysis/results/finales_rank_replication_summary.json,primary.permutation_p,Does not pass frozen threshold
finales_boundary,donor_top_quartile_precision,0.5,,,fraction,analysis/results/finales_rank_replication_summary.json,primary.donor_top_quartile_precision,Equal to target baseline
finales_boundary,baseline_top_quartile_precision,0.5,,,fraction,analysis/results/finales_rank_replication_summary.json,primary.baseline_top_quartile_precision,Equal to donor
finales_boundary,donor_normalized_regret,0.5630256405707067,,,fraction,analysis/results/finales_rank_replication_summary.json,primary.donor_normalized_regret,Worse than target baseline
finales_boundary,baseline_normalized_regret,0.1804503774293165,,,fraction,analysis/results/finales_rank_replication_summary.json,primary.baseline_normalized_regret,Strongest target baseline
