source_prefix,resource_name,source_url,upstream_licence,collaboration_status,notes
data/collective.sqlite,Unified local SQLite snapshot,repository generated,mixed upstream terms,collaborator-only,"Harmonized derivative; cite every upstream source represented in the datasets table"
data/external/caltech_acid_oer,Caltech high-throughput Acid-OER,https://data.caltech.edu/records/tg041-j4g80,repository record,private-collaborator,"Open repository record; confirm exact file-level terms before public redistribution"
data/external/caltech_ionic,Caltech experimental lithium-ion conductivity,https://data.caltech.edu/records/23mvv-6gk43,CC0,redistributable-with-attribution,"Experimental solid-state ionic-conductivity recipient"
data/external/tri_oer,TRI four-plate OER,https://data.caltech.edu/records/7b106-nf257,repository record,private-collaborator,"Confirm exact file-level terms before public redistribution"
data/external/battery_conductivity_borrowing,Multi-stage lithium-ion battery aging,https://figshare.com/articles/dataset/Multi-Stage_Lithium_Ion_Battery_Aging_Study/25975315,CC-BY-4.0,redistributable-with-attribution,"Frozen battery recipient archive"
data/external/bandgap_borrowing,Band-gap and perovskite transfer candidates,upstream archives recorded in project audits,verify-upstream,private-collaborator,"Mixed NOMAD and literature-derived inputs; perform file-level rights audit before public release"
data/external/starrydata_2026-07-17,Starrydata2 thermoelectric export,https://www.starrydata2.org/,upstream-specific,private-collaborator,"Downloaded research snapshot; do not publicly mirror without checking Starrydata terms"
data/external/opv_borrowing,Organic photovoltaic and HOPV inputs,https://figshare.com/articles/dataset/Database_for_Organic_Photovoltaic_Cells/12045567,CC-BY-4.0 and mixed upstream,private-collaborator,"OPV database is CC-BY-4.0; bundled HOPV/derived inputs require source-level attribution"
data/external/optical_photocatalysis,Optical-property and photocatalytic HER inputs,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8372320/supplementaryFiles?includeInlineImage=false,verify-upstream,private-collaborator,"Article supplement plus optical donor table; verify publisher and table terms before public redistribution"
Dataset/Root,Additional root-level candidate tables,user-provided local collection,unknown,collaborator-restricted,"Concrete, photoelectrochemistry, polymer photocatalysis, sol-gel and embedding tables"
Dataset/ref1,Science ADS0901 supplementary tables,https://doi.org/10.1126/science.ads0901,verify-upstream,private-collaborator,"Only tabular supplements included; article PDFs excluded"
Dataset/Ref2,Nature 2025 supplementary tables,https://doi.org/10.1038/s41586-025-09640-5,verify-upstream,private-collaborator,"Only tabular supplements included; article PDFs excluded"
Dataset/ref3,Science ADK9227 molecular optical dataset,https://doi.org/10.1126/science.adk9227,verify-upstream,private-collaborator,"Experimental and building-block tables; article PDFs excluded"
Dataset/ref4,Science Advances ADU4391 zinc-electrolyte tables,https://doi.org/10.1126/sciadv.adu4391,verify-upstream,private-collaborator,"Tabular supplement and project-added LCE transform"
Dataset/ref5,Nature Communications 2024 supplementary table,https://doi.org/10.1038/s41467-024-47070-5,verify-upstream,private-collaborator,"Only tabular supplement included; article PDFs excluded"
Dataset/ref6,SpecGen robotic derivative OER,https://doi.org/10.1038/s44160-025-00983-5,verify-upstream,private-collaborator,"Data archives and table included; article PDFs excluded"
Dataset/Ref7,Suzuki-Miyaura reaction data,user-provided local collection,verify-upstream,private-collaborator,"Source identity must be confirmed before public redistribution"
Dataset/Ref8,HER catalyst dataset,user-provided local collection,verify-upstream,private-collaborator,"Source identity must be confirmed before public redistribution"
Dataset/Runze,Unpublished electrocatalysis campaign,user-provided experimental programme,not-public,collaborator-restricted,"Do not redistribute or publish without the data owner's approval"
Dataset/Sum,Project comparison summaries,repository generated,project-authored,collaborator-only,"Derived benchmark summaries"
Dataset/UMAP data,Cross-database candidate tables and embeddings,repository generated from mixed upstream data,mixed upstream terms,collaborator-only,"Exploratory screening only; trace each row to its source before claim-bearing use"
