attempt_id,programme_or_pair,family,transferred_object,evaluation,status,headline_result,manuscript_role,evidence_path
A01,"Thermoelectric Meyer-Neldel and NIST adsorption compensation","cross-domain regularities","pooled fitted relation","reference/family-separated fits plus artifact gates","main-boundary","Pooled lines were weak or family/provenance dependent; high pooled fit alone was not treated as transportable knowledge","Why naive aggregation can mislead","analysis/PHASE1_FINDINGS.md"
A02,"Systematic generic donor-feature portfolio","eight experimental target programmes","cross-fitted donor prediction as one target feature","40 real edges; 8 shuffled controls; outcome-free Q1/Q4 groups","main-boundary","0/40 designated edges passed the complete OOD-repair gate; seven-programme mean gain 0.92% [-0.35%, 2.92%]","Rejects generic feature injection as the method","analysis/results/multi_target_ood_summary.json"
A03,"KIT -20 C to -30 C conductivity","electrolyte transport","neighbouring-temperature prediction","formulation-held-out few-shot test","supplement-positive","15.02% RMSE reduction [8.61%, 21.10%] at n=30; positive across folds and learners","Local same-campaign feasibility","analysis/results/kit_temperature_summary.json"
A04,"CALiSol -30 C to -40 C absolute transfer","electrolyte transport","absolute neighbouring-condition prediction","held-out source articles","null","1.61% gain [-2.14%, 4.21%], negative absolute R2 and failed distance ordering","Shows why article provenance matters","analysis/results/calisol_external_summary.json"
A05,"CALiSol anchored delta transfer","electrolyte transport","within-article response relation plus one target anchor","11 held-out articles","method-development","6.91% macro-RMSE gain [0.88%, 14.00%], 8/11 articles improved; post-outcome motivated","Identifies a more portable transfer object","analysis/CALISOL_ANCHORED_DELTA_TRANSFER_FINDINGS.md"
A06,"Borg MPEA UTS to yield strength","alloy mechanics","state-matched strength relation","elemental-system held-out OOD groups","supplement-positive","9.21% Q4 gain in the state-aware analysis, but same-specimen provenance and limited independent units restrict interpretation","Provenance-specific positive example","analysis/MPEA_PROVENANCE_SPECIFICITY_FINDINGS.md"
A07,"Borg MPEA to BIRDSHOT","alloy mechanics","UTS-derived yield-strength prior","rolling-year external test","null","4.30% directional RMSE reduction below the frozen 5% practical gate; pooled R2 remained negative","External below-gate boundary","analysis/PHASE3_FINDINGS.md"
A08,"Borg MPEA to Matbench steels","alloy mechanics","UTS-derived yield-strength prior","official five Matbench folds","null","-1.23% mean gain with five negative fold means and permutation p=0.794","Independent mechanical null","analysis/results/matbench_steels_external_summary.json"
A09,"Borg strength calibration transported to BIRDSHOT","alloy mechanics","unmodified log-log coefficient law","zero-overlap external compositions","harmful","Source R2=0.790; unchanged external R2=-3.006","Coefficient portability falsifier","analysis/results/strength_law_summary.json"
A10,"OBELiX fixed and sequential search","solid electrolyte transport","thermoelectric or other donor priors","fixed ranking and 100-seed RF-UCB","null","Sequential target-only and donor-prior policies required 24.34 and 24.09 acquisitions; 0.25 saved [-1.30, 1.82]","Prediction is not discovery acceleration","analysis/results/obelix_ood_discovery_summary.json"
A11,"Caltech ionic-conductor static source rankings","ionic transport","independent source rankings","external and hard-OOD top-component search","ranking-only","Only ESTM hard-OOD survived Holm correction; adaptive refitting erased the static signal","Limited cross-database ranking evidence","analysis/results/caltech_static_ranking_empirical_null_summary.json"
A12,"Starrydata reverse ionic-to-thermoelectric","transport","ionic source feature and ranking","outcome-unseen article-held-out test","null","0.88% far-OOD gain [0.02%, 1.77%] but Holm p=0.071 and R2=-0.485","Outcome-unseen boundary","analysis/results/starrydata_reverse_VALIDATED.json"
A13,"TRI four-plate OER","electrocatalysis","multi-neighbour source features and policies","outcome-unseen plate-held-out test","null","-0.079% gain [-0.313%, 0.155%]; all absolute R2 values negative","Second-family outcome-unseen boundary","analysis/results/tri_oer_VALIDATED.json"
A14,"Leave-one-program CCA borrowing gate","multi-domain","credibility and adjacency gate","20 tasks across 13 programme clusters","method-development","Gate did not outperform always-best or never-borrowing comparators","Failed universal admission-rule attempt retained","analysis/CCA_LEAVE_ONE_PROGRAM_GATE_VALIDATION.md"
A15,"Multi-stage battery temporal programme","battery aging","Stage-1 response features into Stage-2 conditions","frozen stage holdout","non-evaluable","Frozen 23-group primary lacked one endpoint in all three cells of one condition; 22-group sensitivity did not beat adjacency-only","Temporal test and endpoint-integrity boundary","analysis/MULTISTAGE_BATTERY_STAGE2_FINDINGS.md"
A16,"Multi-stage battery post-outcome diagnostic","battery aging","continuous Stage-1 response feature","22 evaluable Stage-2 groups","method-development","6.12% condition-RMSE gain [2.56%, 9.16%], Holm p=0.0108; outcome-guided and not confirmatory","Future independent-test candidate","analysis/MULTISTAGE_BATTERY_STAGE2_FINDINGS.md"
A17,"Optical spectroscopy to photocatalytic HER","molecular photochemistry","Chemprop source encoder/residual","scaffold-separated development OOD","harmful","Primary state-aligned pretrained residual changed RMSE by -28.12% and was worse than shuffled by 25.23 percentage points","Strong negative-transfer example","analysis/OPTICAL_SUPERVISED_BORROWING_FINDINGS.md"
A18,"Optical spectroscopy to organic photovoltaics","optoelectronics","state-aware optical source card","external molecular device split","null","About 0.41% mean RMSE gain but failed the practical and shuffled-source gates","Small statistically detectable but scientifically unqualified effect","analysis/results/opv_optical_external_formal_summary.json"
A19,"Bandgap donors to perovskite PCE","photovoltaics","experimental/theoretical bandgap contracts","DOI- and family-held-out chemical OOD","null","No tested policy passed; primary gains were approximately zero or negative","Bandgap adjacency did not rescue device prediction","analysis/results/bandgap_perovskite_pce_ood_summary.json"
A20,"AqSolDB and FreeSolv organic pair","aqueous molecular properties","hydration free-energy source prediction","composition and fingerprint targets","null","Best-case source feature produced practically negligible target improvement","Organic physical-null control","analysis/PHASE2_FINDINGS.md"
A21,"Cross-laboratory battery fade","battery aging","early-life fade coefficients","laboratory-held-out applicability gate","abstain","100% of recipient cells were outside donor support; gate refused borrowing; post-outcome prior-only diagnostic remained absolute-utility negative","Example of safe abstention","analysis/CROSSLAB_FADE_TRANSFER_FINDINGS.md"
A22,"SpecGen controlled catalyst derivatives","electrocatalysis","composition response relation","four complete derivative systems; five target labels","main-positive","Two systems reduced RMSE by 16.3% and 26.1%; one was ranking-only; one was harmful","Controlled routing of prediction, ranking and rejection","analysis/results/specgen_composition_secondary_summary.json"
A23,"BambooMixer to unseen LiAsF6 electrolyte","electrolyte transport","permutation-invariant mixture response relation","external unseen-salt database","main-positive","Raw R2=0.629, rho=0.871; 28.64% lower log-RMSE than state-only","Cross-database numerical relation transfer","analysis/results/bamboomixer_response_transfer_summary.json"
A24,"Three electrolyte programmes to SolventSeg","electrolyte transport","programme-balanced ordinal score","100 outcome-blind five-label recipient selections","main-positive","Source rho=0.910 versus strongest recipient-only rho=0.537; delta rho=0.374 [0.213, 0.562]","Strongest OOD candidate-ranking result","analysis/BAMBOOMIXER_CROSS_DATABASE_INTERACTION_FINDINGS_2026-07-30.md"
A25,"Electrolyte source score to FINALES","electrolyte transport","frozen ordinal score","second-recipient three-anchor test","main-boundary","Donor rho=0.694 versus recipient baseline 0.783; delta=-0.089 [-0.293, 0.096]","Demonstrates programme-specificity and abstention","analysis/results/finales_rank_replication_summary.json"
A26,"Initial Edison CALiSol to KIT residual transfer","electrolyte transport","absolute donor model plus residual correction","leave-one-composition-cluster-out","harmful","Canonical residual transfer increased macro RMSE by 12.69%; alternate preprocessing was unstable","AI-generated flagship candidate rejected after audit","analysis/review_packages/edison/legacy_kosmos_2026-07-30/Flagship_experimental_OOD_knowledge-transfer_case_report.md"
A27,"Edison SolventSeg ranking hypothesis","electrolyte transport","CALiSol-pretrained candidate ordering","five formulation OOD folds","method-development","Edison delta rho=0.244 was exactly reproduced; later recipient-baseline stress testing produced the stronger delta rho=0.374 result","AI hypothesis retained only after independent local validation","analysis/review_packages/edison/SOLVENTSEG_INDEPENDENT_VALIDATION_2026-07-30.md"
